"year","unitid","inst_name","state_name","years_since_entering_repay","repay_rate","repay_rate_female","repay_rate_male","repay_rate_firstgen","repay_count_female","repay_count_male","repay_count_firstgen"
"2016","200800","University of Akron Main Campus","Ohio","7","0.576582","0.571924","0.581822","0.565198","4901","4357","4448"
"2016","201441","Bowling Green State University-Main Campus","Ohio","3","0.533728","0.518621","0.554185","0.483662","5048","3728","3550"
"2016","201441","Bowling Green State University-Main Campus","Ohio","5","0.582986","0.579424","0.58758","0.535853","4860","3768","3598"
"2016","201441","Bowling Green State University-Main Campus","Ohio","7","0.6852","0.673333","0.700062","0.649549","4050","3234","2882"
"2016","201690","Central State University","Ohio","3","0.169338","0.182497","0.15615","0.173448","937","935","934"
"2016","201690","Central State University","Ohio","5","0.222354","0.243542","0.202532","0.225767","813","869","815"
"2016","201690","Central State University","Ohio","7","0.260479","0.289474","0.236264","0.248397","608","728","624"
"2016","201885","University of Cincinnati-Main Campus","Ohio","3","0.571222","0.541397","0.613289","0.509665","8491","6020","5794"
"2016","201885","University of Cincinnati-Main Campus","Ohio","5","0.617259","0.595734","0.646739","0.556863","8064","5888","5865"
"2016","201885","University of Cincinnati-Main Campus","Ohio","7","0.676183","0.658983","0.700103","0.631904","6724","4835","4852"
"2016","201946","University of Cincinnati-Clermont College","Ohio","3","0.571222","0.541397","0.613289","0.509665","8491","6020","5794"
"2016","201946","University of Cincinnati-Clermont College","Ohio","5","0.617259","0.595734","0.646739","0.556863","8064","5888","5865"
"2016","201946","University of Cincinnati-Clermont College","Ohio","7","0.676183","0.658983","0.700103","0.631904","6724","4835","4852"
"2016","201955","University of Cincinnati-Blue Ash College","Ohio","3","0.571222","0.541397","0.613289","0.509665","8491","6020","5794"
"2016","201955","University of Cincinnati-Blue Ash College","Ohio","5","0.617259","0.595734","0.646739","0.556863","8064","5888","5865"
"2016","201955","University of Cincinnati-Blue Ash College","Ohio","7","0.676183","0.658983","0.700103","0.631904","6724","4835","4852"
"2016","202134","Cleveland State University","Ohio","3","0.47485","0.453154","0.508364","0.456542","4248","2750","3187"
"2016","202134","Cleveland State University","Ohio","5","0.537233","0.514188","0.572052","0.51848","3806","2519","2895"
"2016","202134","Cleveland State University","Ohio","7","0.586155","0.579618","0.596041","0.584453","2826","1869","2084"
"2016","203447","Kent State University at Ashtabula","Ohio","3","0.470591","0.461365","0.486257","0.426354","11984","7058","9342"
"2016","203447","Kent State University at Ashtabula","Ohio","5","0.511316","0.508334","0.51596","0.46919","10979","7049","9088"
"2016","203447","Kent State University at Ashtabula","Ohio","7","0.624896","0.622206","0.629247","0.592363","8142","5033","6442"
"2016","203456","Kent State University at East Liverpool","Ohio","3","0.470591","0.461365","0.486257","0.426354","11984","7058","9342"
"2016","203456","Kent State University at East Liverpool","Ohio","5","0.511316","0.508334","0.51596","0.46919","10979","7049","9088"
"2016","203456","Kent State University at East Liverpool","Ohio","7","0.624896","0.622206","0.629247","0.592363","8142","5033","6442"
"2016","203465","Kent State University at Stark","Ohio","3","0.470591","0.461365","0.486257","0.426354","11984","7058","9342"
"2016","203465","Kent State University at Stark","Ohio","5","0.511316","0.508334","0.51596","0.46919","10979","7049","9088"
